oplot, Plotting tools for audio analysis, https://github.com/otosense/oplot
forged, Tools for data generation, https://github.com/otosense/forged
omisc, https://github.com/otosense/hear, https://github.com/otosense/omisc
recode, Tools to make codecs for time-series serialization and deserialization., https://github.com/otosense/recode
ooq, Quick access to code favorites, https://github.com/otosense/ooq
viable, Diagnose source data for sound recognition ML, https://github.com/otosense/viable
lined, Building simple pipelines simply., https://github.com/otosense/lined
linkup, Making mappings operable., https://github.com/otosense/linkup
gurgle, Wrappers to extend ML processing components (perform online/mini-batch learning - track residues - store data - track drift etc.), https://github.com/otosense/gurgle
splatter, Vizualizing multidimensional points in a pleasing and informative way, https://github.com/otosense/splatter
oui_notebook, Highly reusable UI components for sound recognition, https://github.com/otosense/oui_notebook
taped, Python's serene audio accessor, https://github.com/otosense/taped
know, Funnel live streams of data into storage and other processes, https://github.com/otosense/know
haggle, A facade to Kaggle data, https://github.com/otosense/haggle
atypes, Abstractions for signal machine learning., https://github.com/otosense/atypes
hum, Generate synthetic signals for ML pipelines, https://github.com/otosense/hum
